datetime,order,price,pnl,cum_pnl
2022-09-01 21:15:00,open long,1586.0,0.0,0.0
2022-09-02 17:50:00,close long,1585.27,-2.315635000000018,-2.315635000000018
2022-09-02 19:20:00,open short,1554.32,0.0,-2.315635000000018
2022-09-04 11:55:00,close short,1564.57,-11.809445,-14.125080000000018
2022-09-05 05:20:00,close long,1561.06,-5.072814999999991,-19.19789500000001
2022-09-05 15:00:00,open long,1594.52,0.0,-19.19789500000001
2022-09-06 14:00:00,close long,1642.15,46.01166500000011,26.813770000000098
2022-09-06 17:20:00,open short,1601.39,0.0,26.813770000000098
2022-09-07 13:00:00,close short,1529.05,70.77478000000015,97.58855000000025
2022-09-07 19:15:00,open long,1574.36,0.0,97.58855000000025
2022-09-08 07:20:00,close long,1598.62,22.67350999999999,120.26206000000025
2022-09-08 20:10:00,open long,1656.01,0.0,120.26206000000025
2022-09-11 20:35:00,close long,1752.41,94.69579000000009,214.95785000000035
2022-09-11 21:50:00,open short,1728.77,0.0,214.95785000000035
2022-09-13 06:40:00,close short,1715.09,11.958070000000063,226.91592000000043
2022-09-13 11:20:00,open long,1743.71,0.0,226.91592000000043
2022-09-13 12:30:00,close long,1686.59,-58.83515000000012,168.0807700000003
2022-09-14 21:50:00,close short,1610.82,74.12129499999998,242.2020650000003
2022-09-14 22:05:00,open long,1615.03,0.0,242.2020650000003
2022-09-15 06:20:00,close long,1580.37,-36.257700000000085,205.9443650000002
2022-09-15 07:15:00,open long,1644.06,0.0,205.9443650000002
2022-09-15 14:25:00,close long,1570.01,-75.65703499999995,130.28733000000025
2022-09-15 14:30:00,open short,1539.17,0.0,130.28733000000025
2022-09-17 15:00:00,close short,1441.12,96.55985500000018,226.84718500000042
2022-09-17 16:10:00,open long,1459.54,0.0,226.84718500000042
2022-09-18 09:45:00,close long,1425.72,-35.26262999999994,191.58455500000048
2022-09-18 10:00:00,open short,1421.16,0.0,191.58455500000048
2022-09-19 13:40:00,close short,1330.19,89.59432500000003,281.1788800000005
2022-09-19 21:20:00,open long,1387.07,0.0,281.1788800000005
2022-09-20 13:15:00,close long,1332.13,-56.29959999999983,224.87928000000068
2022-09-20 21:50:00,open short,1329.75,0.0,224.87928000000068
2022-09-21 10:50:00,close short,1346.15,-17.73795000000009,207.14133000000058
2022-09-21 17:30:00,open long,1370.86,0.0,207.14133000000058
2022-09-21 18:00:00,close long,1327.86,-44.34936,162.7919700000006
2022-09-22 08:00:00,close short,1279.36,47.19639,209.9883600000006
2022-09-22 19:10:00,open long,1317.06,0.0,209.9883600000006
2022-09-23 09:35:00,close long,1307.59,-10.782325000000027,199.20603500000058
2022-09-23 13:55:00,open short,1270.43,0.0,199.20603500000058
2022-09-23 21:40:00,close short,1324.0,-54.86721499999994,144.33882000000065
2022-09-24 13:05:00,open long,1341.58,0.0,144.33882000000065
2022-09-24 21:15:00,close long,1324.46,-18.453019999999892,125.88580000000076
2022-09-24 22:10:00,open short,1316.17,0.0,125.88580000000076
2022-09-26 03:20:00,close short,1311.75,3.106040000000073,128.99184000000082
2022-09-26 09:00:00,open long,1319.69,0.0,128.99184000000082
2022-09-27 15:35:00,close long,1376.09,55.052109999999864,184.04395000000068
2022-09-27 17:40:00,open short,1318.98,0.0,184.04395000000068
2022-09-28 13:20:00,close short,1311.97,5.694524999999991,189.73847500000068
2022-09-28 19:45:00,open long,1343.31,0.0,189.73847500000068
2022-09-29 06:05:00,close long,1327.21,-17.43525999999991,172.30321500000076
2022-09-29 13:40:00,open short,1304.12,0.0,172.30321500000076
2022-09-29 16:40:00,close short,1343.04,-40.24358000000007,132.0596350000007
2022-09-30 00:30:00,open long,1346.6,0.0,132.0596350000007
2022-09-30 03:00:00,close long,1326.78,-21.156689999999937,110.90294500000076
2022-09-30 12:30:00,open short,1329.19,0.0,110.90294500000076
2022-09-30 14:35:00,close short,1346.15,-18.297670000000036,92.60527500000072
2022-09-30 14:45:00,open long,1363.76,0.0,92.60527500000072
